USAGE_DATE,FACILITY_NAME,attendance
8/30/2018,Tivoli Gardens,30287
8/31/2018,PortAventura World,54800
8/31/2018,Tivoli Gardens,26951
9/1/2018,PortAventura World,57367
9/1/2018,Tivoli Gardens,30008
9/2/2018,PortAventura World,39488
9/2/2018,Tivoli Gardens,23627
9/3/2018,PortAventura World,39006
9/3/2018,Tivoli Gardens,14719
9/4/2018,PortAventura World,39373
9/4/2018,Tivoli Gardens,18247
9/5/2018,PortAventura World,39887
9/5/2018,Tivoli Gardens,19544
9/6/2018,PortAventura World,39810
9/6/2018,Tivoli Gardens,20105
9/7/2018,PortAventura World,38951
9/7/2018,Tivoli Gardens,21130
9/8/2018,PortAventura World,58206
9/8/2018,Tivoli Gardens,30496
9/9/2018,PortAventura World,42245
9/9/2018,Tivoli Gardens,26340
9/10/2018,PortAventura World,34200
9/10/2018,Tivoli Gardens,14236
9/11/2018,PortAventura World,33832
9/11/2018,Tivoli Gardens,15945
9/12/2018,PortAventura World,33776
9/12/2018,Tivoli Gardens,16391
9/13/2018,PortAventura World,26274
9/13/2018,Tivoli Gardens,14288
9/14/2018,PortAventura World,28164
9/14/2018,Tivoli Gardens,14412
9/15/2018,PortAventura World,65538
9/15/2018,Tivoli Gardens,42149
9/16/2018,PortAventura World,38398
9/16/2018,Tivoli Gardens,26011
9/17/2018,PortAventura World,23472
9/17/2018,Tivoli Gardens,10568
9/18/2018,PortAventura World,23130
9/18/2018,Tivoli Gardens,11305
9/19/2018,PortAventura World,25394
9/19/2018,Tivoli Gardens,12196
9/20/2018,PortAventura World,25841
9/20/2018,Tivoli Gardens,12067
9/21/2018,PortAventura World,23372
9/21/2018,Tivoli Gardens,11050
9/22/2018,PortAventura World,57207
9/22/2018,Tivoli Gardens,35421
9/23/2018,PortAventura World,30642
9/23/2018,Tivoli Gardens,21330
9/24/2018,PortAventura World,26803
9/24/2018,Tivoli Gardens,11161
9/25/2018,PortAventura World,23003
9/25/2018,Tivoli Gardens,11433
9/26/2018,PortAventura World,26494
9/26/2018,Tivoli Gardens,12719
9/27/2018,PortAventura World,33657
9/27/2018,Tivoli Gardens,15304
9/28/2018,PortAventura World,30020
9/28/2018,Tivoli Gardens,19714
9/29/2018,PortAventura World,51281
9/29/2018,Tivoli Gardens,28300
9/30/2018,PortAventura World,35059
9/30/2018,Tivoli Gardens,25105
10/1/2018,PortAventura World,25133
10/1/2018,Tivoli Gardens,8172
10/2/2018,PortAventura World,22445
10/2/2018,Tivoli Gardens,10383
10/3/2018,PortAventura World,25118
10/3/2018,Tivoli Gardens,11103
10/4/2018,PortAventura World,30598
10/4/2018,Tivoli Gardens,12121
10/5/2018,PortAventura World,34499
10/5/2018,Tivoli Gardens,13714
10/6/2018,PortAventura World,56522
10/6/2018,Tivoli Gardens,23658
10/7/2018,PortAventura World,35015
10/7/2018,Tivoli Gardens,21031
10/8/2018,PortAventura World,31405
10/8/2018,Tivoli Gardens,11204
10/9/2018,PortAventura World,31077
10/9/2018,Tivoli Gardens,12974
10/10/2018,PortAventura World,33234
10/10/2018,Tivoli Gardens,14379
10/11/2018,PortAventura World,29926
10/11/2018,Tivoli Gardens,12822
10/12/2018,PortAventura World,34840
10/12/2018,Tivoli Gardens,13815
10/13/2018,PortAventura World,62452
10/13/2018,Tivoli Gardens,27233
10/14/2018,PortAventura World,43957
10/14/2018,Tivoli Gardens,23647
10/15/2018,PortAventura World,35839
10/15/2018,Tivoli Gardens,14814
10/16/2018,PortAventura World,36601
10/16/2018,Tivoli Gardens,15673
10/17/2018,PortAventura World,34549
10/17/2018,Tivoli Gardens,17331
10/18/2018,PortAventura World,34626
10/18/2018,Tivoli Gardens,14929
10/19/2018,PortAventura World,35897
10/19/2018,Tivoli Gardens,15564
10/20/2018,PortAventura World,62256
10/20/2018,Tivoli Gardens,27914
10/21/2018,PortAventura World,64262
10/21/2018,Tivoli Gardens,31694
10/22/2018,PortAventura World,53397
10/22/2018,Tivoli Gardens,26060
10/23/2018,PortAventura World,60327
10/23/2018,Tivoli Gardens,28831
10/24/2018,PortAventura World,55532
10/24/2018,Tivoli Gardens,27632
10/25/2018,PortAventura World,59155
10/25/2018,Tivoli Gardens,29638
10/26/2018,PortAventura World,49955
10/26/2018,Tivoli Gardens,24904
10/27/2018,PortAventura World,53644
10/27/2018,Tivoli Gardens,24313
10/28/2018,PortAventura World,50868
10/28/2018,Tivoli Gardens,25885
10/29/2018,PortAventura World,48929
10/29/2018,Tivoli Gardens,23079
10/30/2018,PortAventura World,43201
10/30/2018,Tivoli Gardens,20945
10/31/2018,PortAventura World,64137
10/31/2018,Tivoli Gardens,22122
11/1/2018,PortAventura World,54615
11/1/2018,Tivoli Gardens,25114
11/2/2018,PortAventura World,80123
11/2/2018,Tivoli Gardens,38046
11/3/2018,PortAventura World,65140
11/3/2018,Tivoli Gardens,34205
11/4/2018,PortAventura World,39899
11/4/2018,Tivoli Gardens,22866
11/5/2018,PortAventura World,21204
11/5/2018,Tivoli Gardens,12025
11/6/2018,PortAventura World,17709
11/6/2018,Tivoli Gardens,9495
11/7/2018,PortAventura World,14673
11/7/2018,Tivoli Gardens,8894
11/8/2018,PortAventura World,21227
11/8/2018,Tivoli Gardens,10176
11/9/2018,PortAventura World,25432
11/9/2018,Tivoli Gardens,12763
11/10/2018,PortAventura World,45241
11/10/2018,Tivoli Gardens,22865
11/11/2018,PortAventura World,38117
11/11/2018,Tivoli Gardens,21278
11/12/2018,PortAventura World,25105
11/12/2018,Tivoli Gardens,13238
11/13/2018,PortAventura World,29034
11/13/2018,Tivoli Gardens,15158
11/14/2018,PortAventura World,27534
11/14/2018,Tivoli Gardens,15398
11/15/2018,PortAventura World,28199
11/15/2018,Tivoli Gardens,14876
11/16/2018,PortAventura World,62679
11/16/2018,Tivoli Gardens,16604
11/17/2018,PortAventura World,57083
11/17/2018,Tivoli Gardens,27609
11/18/2018,PortAventura World,50966
11/18/2018,Tivoli Gardens,29855
11/19/2018,PortAventura World,28305
11/19/2018,Tivoli Gardens,14969
11/20/2018,PortAventura World,18513
11/20/2018,Tivoli Gardens,11227
11/21/2018,PortAventura World,24621
11/21/2018,Tivoli Gardens,12143
11/22/2018,PortAventura World,27794
11/22/2018,Tivoli Gardens,14842
11/23/2018,PortAventura World,48311
11/23/2018,Tivoli Gardens,25477
11/24/2018,PortAventura World,57748
11/24/2018,Tivoli Gardens,27126
11/25/2018,PortAventura World,44645
11/25/2018,Tivoli Gardens,28085
11/26/2018,PortAventura World,27289
11/26/2018,Tivoli Gardens,14828
11/27/2018,PortAventura World,23748
11/27/2018,Tivoli Gardens,12839
11/28/2018,PortAventura World,22016
11/28/2018,Tivoli Gardens,12647
11/29/2018,PortAventura World,23474
11/29/2018,Tivoli Gardens,12392
11/30/2018,PortAventura World,46645
11/30/2018,Tivoli Gardens,33582
12/1/2018,PortAventura World,57853
12/1/2018,Tivoli Gardens,28341
12/2/2018,PortAventura World,51015
12/2/2018,Tivoli Gardens,29158
12/3/2018,PortAventura World,34352
12/3/2018,Tivoli Gardens,18368
12/4/2018,PortAventura World,32437
12/4/2018,Tivoli Gardens,16029
12/5/2018,PortAventura World,29044
12/5/2018,Tivoli Gardens,14945
12/6/2018,PortAventura World,33697
12/6/2018,Tivoli Gardens,15078
12/7/2018,PortAventura World,54796
12/7/2018,Tivoli Gardens,34572
12/8/2018,PortAventura World,61284
12/8/2018,Tivoli Gardens,28094
12/9/2018,PortAventura World,41943
12/9/2018,Tivoli Gardens,23052
12/10/2018,PortAventura World,36370
12/10/2018,Tivoli Gardens,17549
12/11/2018,PortAventura World,32422
12/11/2018,Tivoli Gardens,16475
12/12/2018,PortAventura World,32316
12/12/2018,Tivoli Gardens,16637
12/13/2018,PortAventura World,30557
12/13/2018,Tivoli Gardens,15230
12/14/2018,PortAventura World,63758
12/14/2018,Tivoli Gardens,36638
12/15/2018,PortAventura World,57457
12/15/2018,Tivoli Gardens,26995
12/16/2018,PortAventura World,51486
12/16/2018,Tivoli Gardens,29128
12/17/2018,PortAventura World,35466
12/17/2018,Tivoli Gardens,18714
12/18/2018,PortAventura World,55042
12/18/2018,Tivoli Gardens,16687
12/19/2018,PortAventura World,40087
12/19/2018,Tivoli Gardens,17071
12/20/2018,PortAventura World,41981
12/20/2018,Tivoli Gardens,16825
12/21/2018,PortAventura World,56197
12/21/2018,Tivoli Gardens,17630
12/22/2018,PortAventura World,63557
12/22/2018,Tivoli Gardens,30445
12/23/2018,PortAventura World,53217
12/23/2018,Tivoli Gardens,30653
12/24/2018,PortAventura World,52442
12/24/2018,Tivoli Gardens,24823
12/25/2018,PortAventura World,66441
12/25/2018,Tivoli Gardens,32324
12/26/2018,PortAventura World,56065
12/26/2018,Tivoli Gardens,26218
12/27/2018,PortAventura World,72756
12/27/2018,Tivoli Gardens,33540
12/28/2018,PortAventura World,67764
12/28/2018,Tivoli Gardens,34595
12/29/2018,PortAventura World,64695
12/29/2018,Tivoli Gardens,33212
12/30/2018,PortAventura World,64265
12/30/2018,Tivoli Gardens,33488
12/31/2018,PortAventura World,77454
12/31/2018,Tivoli Gardens,35366
1/1/2019,PortAventura World,57824
1/1/2019,Tivoli Gardens,30185
1/2/2019,PortAventura World,62595
1/2/2019,Tivoli Gardens,30794
1/3/2019,PortAventura World,66944
1/3/2019,Tivoli Gardens,36425
1/4/2019,PortAventura World,63066
1/4/2019,Tivoli Gardens,35268
1/5/2019,PortAventura World,70032
1/5/2019,Tivoli Gardens,40953
1/6/2019,PortAventura World,44651
1/6/2019,Tivoli Gardens,31550
1/7/2019,PortAventura World,22099
1/7/2019,Tivoli Gardens,13100
1/8/2019,PortAventura World,16814
1/8/2019,Tivoli Gardens,10054
1/9/2019,PortAventura World,14620
1/9/2019,Tivoli Gardens,8010
1/10/2019,PortAventura World,17599
1/10/2019,Tivoli Gardens,9241
1/11/2019,PortAventura World,16358
1/11/2019,Tivoli Gardens,8744
1/12/2019,PortAventura World,47741
1/12/2019,Tivoli Gardens,26445
1/13/2019,PortAventura World,37696
1/13/2019,Tivoli Gardens,25281
1/14/2019,PortAventura World,17846
1/14/2019,Tivoli Gardens,11402
1/15/2019,PortAventura World,14418
1/15/2019,Tivoli Gardens,9306
1/16/2019,PortAventura World,12922
1/16/2019,Tivoli Gardens,8598
1/17/2019,PortAventura World,12637
1/17/2019,Tivoli Gardens,7910
1/18/2019,PortAventura World,14575
1/18/2019,Tivoli Gardens,8501
1/19/2019,PortAventura World,41507
1/19/2019,Tivoli Gardens,22443
1/20/2019,PortAventura World,33450
1/20/2019,Tivoli Gardens,22914
1/21/2019,PortAventura World,16913
1/21/2019,Tivoli Gardens,10004
1/22/2019,PortAventura World,8773
1/22/2019,Tivoli Gardens,5607
1/23/2019,PortAventura World,8601
1/23/2019,Tivoli Gardens,5620
1/24/2019,PortAventura World,12157
1/24/2019,Tivoli Gardens,6587
1/25/2019,PortAventura World,14421
1/25/2019,Tivoli Gardens,8172
1/26/2019,PortAventura World,44483
1/26/2019,Tivoli Gardens,24104
1/27/2019,PortAventura World,29188
1/27/2019,Tivoli Gardens,21154
1/28/2019,PortAventura World,17564
1/28/2019,Tivoli Gardens,9569
1/29/2019,PortAventura World,10436
1/29/2019,Tivoli Gardens,8353
1/30/2019,PortAventura World,9421
1/30/2019,Tivoli Gardens,5320
1/31/2019,PortAventura World,10581
1/31/2019,Tivoli Gardens,6662
2/1/2019,PortAventura World,15119
2/1/2019,Tivoli Gardens,8546
2/2/2019,PortAventura World,37769
2/2/2019,Tivoli Gardens,21401
2/3/2019,PortAventura World,39642
2/3/2019,Tivoli Gardens,24964
2/4/2019,PortAventura World,19274
2/4/2019,Tivoli Gardens,12537
2/5/2019,PortAventura World,19260
2/5/2019,Tivoli Gardens,11987
2/6/2019,PortAventura World,16466
2/6/2019,Tivoli Gardens,10451
2/7/2019,PortAventura World,18016
2/7/2019,Tivoli Gardens,10639
2/8/2019,PortAventura World,20953
2/8/2019,Tivoli Gardens,12803
2/9/2019,PortAventura World,44534
2/9/2019,Tivoli Gardens,30800
2/10/2019,PortAventura World,29321
2/10/2019,Tivoli Gardens,22302
2/11/2019,PortAventura World,31171
2/11/2019,Tivoli Gardens,19710
2/12/2019,PortAventura World,30311
2/12/2019,Tivoli Gardens,20744
2/13/2019,PortAventura World,30451
2/13/2019,Tivoli Gardens,20358
2/14/2019,PortAventura World,36569
2/14/2019,Tivoli Gardens,22690
2/15/2019,PortAventura World,31839
2/15/2019,Tivoli Gardens,20318
2/16/2019,PortAventura World,58249
2/16/2019,Tivoli Gardens,33346
2/17/2019,PortAventura World,53777
2/17/2019,Tivoli Gardens,35937
2/18/2019,PortAventura World,40835
2/18/2019,Tivoli Gardens,24419
2/19/2019,PortAventura World,39152
2/19/2019,Tivoli Gardens,24265
2/20/2019,PortAventura World,37296
2/20/2019,Tivoli Gardens,23594
2/21/2019,PortAventura World,41614
2/21/2019,Tivoli Gardens,25873
2/22/2019,PortAventura World,38942
2/22/2019,Tivoli Gardens,23905
2/23/2019,PortAventura World,53531
2/23/2019,Tivoli Gardens,32161
2/24/2019,PortAventura World,44358
2/24/2019,Tivoli Gardens,28351
2/25/2019,PortAventura World,39184
2/25/2019,Tivoli Gardens,23854
2/26/2019,PortAventura World,38867
2/26/2019,Tivoli Gardens,23952
2/27/2019,PortAventura World,39306
2/27/2019,Tivoli Gardens,23866
2/28/2019,PortAventura World,32413
2/28/2019,Tivoli Gardens,20833
3/1/2019,PortAventura World,36466
3/1/2019,Tivoli Gardens,22033
3/2/2019,PortAventura World,51132
3/2/2019,Tivoli Gardens,30464
3/3/2019,PortAventura World,43795
3/3/2019,Tivoli Gardens,27126
3/4/2019,PortAventura World,35287
3/4/2019,Tivoli Gardens,23137
3/5/2019,PortAventura World,37480
3/5/2019,Tivoli Gardens,23046
3/6/2019,PortAventura World,32085
3/6/2019,Tivoli Gardens,21736
3/7/2019,PortAventura World,41970
3/7/2019,Tivoli Gardens,27210
3/8/2019,PortAventura World,49850
3/8/2019,Tivoli Gardens,32421
3/9/2019,PortAventura World,57389
3/9/2019,Tivoli Gardens,36128
3/10/2019,PortAventura World,40347
3/10/2019,Tivoli Gardens,26656
3/11/2019,PortAventura World,30328
3/11/2019,Tivoli Gardens,20176
3/12/2019,PortAventura World,22442
3/12/2019,Tivoli Gardens,16760
3/13/2019,PortAventura World,21482
3/13/2019,Tivoli Gardens,16199
3/14/2019,PortAventura World,19230
3/14/2019,Tivoli Gardens,13418
3/15/2019,PortAventura World,33311
3/15/2019,Tivoli Gardens,19214
3/16/2019,PortAventura World,68675
3/16/2019,Tivoli Gardens,44052
3/17/2019,PortAventura World,43948
3/17/2019,Tivoli Gardens,32486
3/18/2019,PortAventura World,35527
3/18/2019,Tivoli Gardens,18409
3/19/2019,PortAventura World,33175
3/19/2019,Tivoli Gardens,18162
3/20/2019,PortAventura World,32131
3/20/2019,Tivoli Gardens,16913
3/21/2019,PortAventura World,34365
3/21/2019,Tivoli Gardens,17800
3/22/2019,PortAventura World,44921
3/22/2019,Tivoli Gardens,20010
3/23/2019,PortAventura World,76916
3/23/2019,Tivoli Gardens,43208
3/24/2019,PortAventura World,58040
3/24/2019,Tivoli Gardens,35371
3/25/2019,PortAventura World,38068
3/25/2019,Tivoli Gardens,20676
3/26/2019,PortAventura World,31067
3/26/2019,Tivoli Gardens,19266
3/27/2019,PortAventura World,32533
3/27/2019,Tivoli Gardens,16127
3/28/2019,PortAventura World,37412
3/28/2019,Tivoli Gardens,18897
3/29/2019,PortAventura World,41942
3/29/2019,Tivoli Gardens,20509
3/30/2019,PortAventura World,77740
3/30/2019,Tivoli Gardens,42832
3/31/2019,PortAventura World,61826
3/31/2019,Tivoli Gardens,37985
4/1/2019,PortAventura World,39438
4/1/2019,Tivoli Gardens,19046
4/2/2019,PortAventura World,25884
4/2/2019,Tivoli Gardens,14682
4/3/2019,PortAventura World,28436
4/3/2019,Tivoli Gardens,15617
4/4/2019,PortAventura World,35058
4/4/2019,Tivoli Gardens,17249
4/5/2019,PortAventura World,37280
4/5/2019,Tivoli Gardens,18304
4/6/2019,PortAventura World,51173
4/6/2019,Tivoli Gardens,25844
4/7/2019,PortAventura World,47711
4/7/2019,Tivoli Gardens,26638
4/8/2019,PortAventura World,50159
4/8/2019,Tivoli Gardens,25333
4/9/2019,PortAventura World,48204
4/9/2019,Tivoli Gardens,27137
4/10/2019,PortAventura World,44031
4/10/2019,Tivoli Gardens,26453
4/11/2019,PortAventura World,55586
4/11/2019,Tivoli Gardens,29058
4/12/2019,PortAventura World,47621
4/12/2019,Tivoli Gardens,25203
4/13/2019,PortAventura World,53011
4/13/2019,Tivoli Gardens,26675
4/14/2019,PortAventura World,48908
4/14/2019,Tivoli Gardens,26704
4/15/2019,PortAventura World,61281
4/15/2019,Tivoli Gardens,27820
4/16/2019,PortAventura World,49219
4/16/2019,Tivoli Gardens,28610
4/17/2019,PortAventura World,61469
4/17/2019,Tivoli Gardens,31484
4/18/2019,PortAventura World,63702
4/18/2019,Tivoli Gardens,31736
4/19/2019,PortAventura World,61252
4/19/2019,Tivoli Gardens,28761
4/20/2019,PortAventura World,63984
4/20/2019,Tivoli Gardens,29016
4/21/2019,PortAventura World,59853
4/21/2019,Tivoli Gardens,31438
4/22/2019,PortAventura World,52835
4/22/2019,Tivoli Gardens,26182
4/23/2019,PortAventura World,65080
4/23/2019,Tivoli Gardens,29818
4/24/2019,PortAventura World,56153
4/24/2019,Tivoli Gardens,27831
4/25/2019,PortAventura World,47643
4/25/2019,Tivoli Gardens,27069
4/26/2019,PortAventura World,53548
4/26/2019,Tivoli Gardens,25954
4/27/2019,PortAventura World,44958
4/27/2019,Tivoli Gardens,24141
4/28/2019,PortAventura World,39483
4/28/2019,Tivoli Gardens,22564
4/29/2019,PortAventura World,50273
4/29/2019,Tivoli Gardens,22858
4/30/2019,PortAventura World,57215
4/30/2019,Tivoli Gardens,26522
5/1/2019,PortAventura World,56939
5/1/2019,Tivoli Gardens,28775
5/2/2019,PortAventura World,43709
5/2/2019,Tivoli Gardens,22565
5/3/2019,PortAventura World,48140
5/3/2019,Tivoli Gardens,23177
5/4/2019,PortAventura World,40154
5/4/2019,Tivoli Gardens,21568
5/5/2019,PortAventura World,35605
5/5/2019,Tivoli Gardens,19525
5/6/2019,PortAventura World,30545
5/6/2019,Tivoli Gardens,12689
5/7/2019,PortAventura World,33640
5/7/2019,Tivoli Gardens,15558
5/8/2019,PortAventura World,26226
5/8/2019,Tivoli Gardens,15126
5/9/2019,PortAventura World,31218
5/9/2019,Tivoli Gardens,14597
5/10/2019,PortAventura World,29501
5/10/2019,Tivoli Gardens,15472
5/11/2019,PortAventura World,38162
5/11/2019,Tivoli Gardens,20618
5/12/2019,PortAventura World,43272
5/12/2019,Tivoli Gardens,24618
5/13/2019,PortAventura World,34158
5/13/2019,Tivoli Gardens,14243
5/14/2019,PortAventura World,34544
5/14/2019,Tivoli Gardens,16693
5/15/2019,PortAventura World,34548
5/15/2019,Tivoli Gardens,16458
5/16/2019,PortAventura World,38609
5/16/2019,Tivoli Gardens,17592
5/17/2019,PortAventura World,38478
5/17/2019,Tivoli Gardens,17934
5/18/2019,PortAventura World,52973
5/18/2019,Tivoli Gardens,27403
5/19/2019,PortAventura World,34864
5/19/2019,Tivoli Gardens,22959
5/20/2019,PortAventura World,19335
5/20/2019,Tivoli Gardens,15946
5/21/2019,PortAventura World,32923
5/21/2019,Tivoli Gardens,14910
5/22/2019,PortAventura World,34939
5/22/2019,Tivoli Gardens,16124
5/23/2019,PortAventura World,37732
5/23/2019,Tivoli Gardens,17461
5/24/2019,PortAventura World,38899
5/24/2019,Tivoli Gardens,18598
5/25/2019,PortAventura World,50372
5/25/2019,Tivoli Gardens,26572
5/26/2019,PortAventura World,40829
5/26/2019,Tivoli Gardens,23306
5/27/2019,PortAventura World,41258
5/27/2019,Tivoli Gardens,17386
5/28/2019,PortAventura World,38546
5/28/2019,Tivoli Gardens,18194
5/29/2019,PortAventura World,53379
5/29/2019,Tivoli Gardens,24873
5/30/2019,PortAventura World,57816
5/30/2019,Tivoli Gardens,30446
5/31/2019,PortAventura World,76906
5/31/2019,Tivoli Gardens,38512
6/1/2019,PortAventura World,62758
6/1/2019,Tivoli Gardens,36127
6/2/2019,PortAventura World,38657
6/2/2019,Tivoli Gardens,21881
6/3/2019,PortAventura World,35552
6/3/2019,Tivoli Gardens,15919
6/4/2019,PortAventura World,35401
6/4/2019,Tivoli Gardens,17342
6/5/2019,PortAventura World,22292
6/5/2019,Tivoli Gardens,16902
6/6/2019,PortAventura World,46353
6/6/2019,Tivoli Gardens,20424
6/7/2019,PortAventura World,31650
6/7/2019,Tivoli Gardens,17995
6/8/2019,PortAventura World,58737
6/8/2019,Tivoli Gardens,26420
6/9/2019,PortAventura World,65317
6/9/2019,Tivoli Gardens,34799
6/10/2019,PortAventura World,45340
6/10/2019,Tivoli Gardens,23975
6/11/2019,PortAventura World,40891
6/11/2019,Tivoli Gardens,20247
6/12/2019,PortAventura World,36393
6/12/2019,Tivoli Gardens,18957
